Sample	MorpV	Sanger	Phylum	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Genus	Species	Feeding.Group	cp.value	SSU.nema.data	SSU.nema.qual	Sample.Type	Experiment	Sample.Control	Sample.Site	Habitat	QubitConc	Latitude	Longitude	Elevation	pH	N	P	K	OM	OC	Sand	Silt	Clay	BD	Soil.Type	Description
Nem.38	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchidae	Aphelenchinae	Aphelenchus	Aphelenchus sp.	Fungivores	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.08	Hollyleaf.cherry	0.0001	33.612167	-117.0442	1651	7.10	17.52	60.40	673.00	4.32	2.50	75.00	18.00	7.00	1.09	Not.Compact.Soil	Nem.38.SingleWorm.SK.08
Nem.381	Yes	Yes	Nematoda	Enoplea	Dorylaimia	Dorylaimida	Dorylaimina	Dorylaimina infraorder	Dorylaimoidea	Aporcelaimidae	Aporcelaiminae	Aporcella	Aporcella sp.	Omnivores	5	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1180	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.381.SingleWorm.SK.01
Nem.382	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Tylenchoidea	Tylenchidae	Tylenchinae	Filenchus	Filenchus sp.	Fungivores	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1100	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.382.SingleWorm.SK.01
Nem.383	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchoididae	Aphelenchoidinae	Aphelenchoides	Aphelenchoides sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.3100	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.383.SingleWorm.SK.01
Nem.384	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Plectida	Plectina	Plectina infraorder	Plectoidea	Plectidae	Plectinae	Plectus	Plectus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1000	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.384.SingleWorm.SK.01
Nem.385	Yes	No	Nematoda	Enoplea	Dorylaimia	Dorylaimida	Dorylaimina	Dorylaimina infraorder	Dorylaimoidea	Aporcelaimidae	Aporcelaiminae	Aporcelaimellus	Aporcelaimellus sp.	Predator	5	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1020	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.385.SingleWorm.SK.01
Nem.386	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Tylenchoidea	Tylenchidae	Tylenchinae	Filenchus	Filenchus sp.	Fungivores	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1200	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.386.SingleWorm.SK.01
Nem.387	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Sphaerularioidea	Anguinidae	Anguininae	Ditylenchus	Ditylenchus sp.	Fungivores	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.1440	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.387.SingleWorm.SK.01
Nem.39	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Cervidellus	Cervidellus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.08	Hollyleaf.cherry	0.1000	33.612167	-117.0442	1651	7.10	17.52	60.40	673.00	4.32	2.50	75.00	18.00	7.00	1.09	Not.Compact.Soil	Nem.39.SingleWorm.SK.08
Nem.390	Yes	No	Nematoda	Enoplea	Dorylaimia	Dorylaimida	Dorylaimina	Dorylaimina infraorder	Dorylaimoidea	Dorylaimidae	Aporcelaiminae	Aporcelaimellus	Aporcelaimellus sp.	Predator	5	included	Bad	SingleWorm	Microbiome	True.Sample	SK.01	Coastal.scrub	0.4100	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	Nem.390.SingleWorm.SK.01
